date,registration,fatalities,summary,all_aboard,cat,location,Country,Cleaned Country
1950-06-26,vhana,29,"The airliner experienced trouble with all four engines. The crew attempted to return to Guildford but  in the dark, while in a 15 degree turn to port, the aircraft barely cleared a ridge line, struck a tree 30 feet off the ground and ploughed into a downward slope shredding itself and contents into small pieces. The aircraft was named ""Amana."" Total loss of engine power.",29,A1,"near Guildford, WA",WA,WA
1950-07-09,fbfgl,22,"While climbing by night, the aircraft went out of control and crashed 7 km from the airport.",29,A1,near Casablanca-Cazes...,near Casablanca-Cazes...,near Casablanca-Cazes...
1950-07-17,vtats,22,The left wing separated from the plane in extreme turbulence after penetrating a thunderstorm.,22,A1,near Pathankot,near Pathankot,near Pathankot
1950-07-23,4477577,39,"Shortly after takeoff and while climbing , the aircraft became unstable, lost height and crashed in a huge explosion in a field located two miles from the airfield. Shortly after takeoff, while climbing to a height between 1,000 and 2,000 feet, the aircraft became unstable, lost height and crashed in a huge explosion in a field located two miles from the airfield. Several eye-witnesses reported that the aircraft lost some pieces before it came down. Investigations determined that following the failure of a part of the right aileron, it detached from the wing, causing severe vibrations. The crew tried to maintain a flat attitude but the aircraft banked left and right and then went into a spin when both wings separated due to aerodynamic forces that exceeded their certification. In such conditions, control was impossible.",39,A1,"near Myrtle Beach, SC",SC,SC
1950-07-29,fbenf,26,An explosion in the left wing fuel tank tore off the upper wing surface leading to loss of control of the aircraft.,26,A1,Tanezrouft,Tanezrouft,Tanezrouft
1950-08-22,n90705,1,"En route, the No. 3 propeller failed. A propeller blade struck and punctured the fuselage, causing a cabin decompression. A safe landing was carried out at Denver. One passenger who had heart trouble died prior to landing. The internal gouging of a propeller blade during the manufacturing process which resulted in a fatigue fracture and subsequent failure during flight.""",59,A2,"near Eagle, CO",CO,CO
1950-08-25,kn630,12,The plane crashed in the steep forested foothills in the Gua Musang district.,12,A1,near Kampong Jenera,near Kampong Jenera,near Kampong Jenera
1950-08-31,n6004c,55,"After taking off from Cario and while climbing to cruising altitude the No3 engine caugt fire. Witnesses observed the aircraft on fire. After turning back toward Cairo, the buring engine fell off. An attempt to land in the desert resulted in the descruction of the aircraft. Failure of the rear master rod bearing in the No. 3 engine that led to an uncontrollable fire. The aircraft was named ""Star of Maryland.""",55,A1,near Wadi Natrun,near Wadi Natrun,near Wadi Natrun
1950-09-04,n18936,16,"The left engine failed due to a cracked piston pin in the No 1 cylinder. Engine parts were observed falling from a height of 3,000 feet. Soon after, the plane was seen losing altitude until it crashed into trees 1.5 miles southeast of Oneida County Airport. Failure of the left engine shortly after takeoff coupled with increased drag due to loss of the left cowling and reduced power output of the right engine resulting from the high pitch position of the right propeller.",23,A1,"near Utica, NY",NY,United States of America
1950-09-26,4272457,23,Crashed in the Korea strait 1mile from the end of the runway after taking off from Ashiya Air Base.,51,A1,near Ashiya Air Base,near Ashiya Air Base,near Ashiya Air Base
1950-10-13,fbaxm,4,"Shortly after takeoff, the crew encountered technical problems and informed ground he was returning to Casablanca. On final approach, the aircraft stalled and crashed in flames 500 meters short of runway.",7,A1,Casablanca,Casablanca,Casablanca
1950-10-13,nc93037,6,"Crashed after making a steep right turn during a training manuver. The unwanted reversal of the right propeller during flight, as a result of which the crew was unable to maintain control of the aircraft.",6,A1,"Almelund, MN",MN,MN
1950-10-17,gagiw,28,Crashed into trees on Mill Hill after engine failure during takeoff. Everyone except one flight attendant was killed.,29,A1,Mill Hill,Mill Hill,Mill Hill
1950-10-31,gahpn,28,"Crashed in fog in an overshoot after deciding on a go-around. Although it cannot be established with certainty, the probable explanation of the known facts may be that the captain deliberately came down below break-off point and then at 100 ft. or less came into fog which abruptly reduced the visibility of the runway lights and that then and not till then he started overshoot procedure with fatal results.",30,A1,London Airport (...,London Airport (...,London Airport (...
1950-11-03,vtcqp,48,"The aircraft crashed in a snowstorm 200 meters below Mont Blanc summit. The crew was warned by a Geneva controller to climb immediately. They acknowledged the message but soon after struck the mountain. The exact cause of the accident remains undetermined. Most likely the aircraft was caught in violent gust while trying to overfly the summit. The plane was named ""Malabar Princess.""",48,A1,Mont Blanc,Mont Blanc,Mont Blanc
1950-11-07,n93040,21,"The flight originated at Chicago for Seattle via intermediate stops at Minneapolis, Billings, Great Falls and Helena. The aircraft left Helena at 0753 from runway 29. The aircraft's flight plan was to fly to 10,500 ft. via Amber Airway No .2 to Whitehall Station and to Butte via Red Airway No. 2. At 0801 the flight reported it reached cruising altitude and was headed toward Whitehall Range Station. This message was acknowledged. The next message from the flight was at 08:14 stating that it was over Whitehall Range Station and starting descent. Butte acknowledged this message and  gave the flight the altimeter setting of 29.97, advised that the wind was south, calm, and the ceiling was lower to the east and north and better to the south and southwest. The flight replied that it had vertical visibility at 10,500 feet. This was the last radio contact with the flight. At approximately 0815 the aircraft had struck the eastern slope of a ridge about 30 feet below its crest, at an altitude of about 8,250 feet MSL. The site of impact was approximately 2 1/2 miles east of the control tower at the Butte Airport, and about 1-1/2 miles to the right of the center of the on course signal from Whitehall to Butte. Captain's failure to follow prescribed approach procedures.",21,A1,"near Butte Airport, M...",M...,M...
1950-11-13,cfedn,58,"The aircraft drifted 50 miles off the prescribed route and struck Mt. Tete de l'Obiou at 6,740 feet. The pilot probably realized the deviation and tried to take corrective action but did not see the mountain in time. The aircraft was named ""Canadian Pilgrim.""",58,A1,near Grenoble,near Grenoble,near Grenoble
1950-11-17,pkdpb,2,Veered off the runway and crashed into a ditch..,23,A1,Surabaya/Perak A...,Surabaya/Perak A...,Surabaya/Perak A...
1950-11-23,obpau201,9,Crashed into a hill in poor weather conditions while en route.,9,A1,Cuzco,Cuzco,Cuzco
1950-11-25,vtcoi,3,Cargo plane. Failure of the pilots to remain alert and maintain a proper look out resulting in the aircraft flying into the side of a hill.,3,A1,near Khitokha,near Khitokha,near Khitokha
1950-12-01,epaaj,8,"While approaching Qom Airport in poor weather conditions, the aircraft hit the slope of a mountain and crashed few km from the airport.",8,A1,near Chamaran,near Chamaran,near Chamaran
1950-12-08,fbelb,46,Crashed into a mountain in the Pyrenees 5 minutes after takeoff. Crew error. Excessive low rate of climb at night in an unknown region and premature change of heading.,56,A1,near Bangui Airport (...,near Bangui Airport (...,near Bangui Airport (...
1950-12-13,vtcfk,21,"the aircraft hit the slope of mountain located near Katagaru, due to a navigational error.",21,A1,near Kotagiri,near Kotagiri,near Kotagiri
1950-12-14,ppspw,1,Crashed into a house while attempting to take off.,20,A1,"RibeirÃ£o Preto, SP",SP,SP
1950-12-22,cfcuf,2,Struck trees on  Mt. Okanagan while making an approach to Penticton. Drifted below the minimum altitude permissible.,18,A1,"near Penticton, BC",BC,BC
1951-01-13,vrhep,10,Crashed into Bukit Besar Mountain while en route.,10,A1,near Sungei Padi,near Sungei Padi,near Sungei Padi
1951-01-14,n74685,7,"The plane overshot the landing, ran into a ditch and caught fire. Pilot error in electing to land long, on a wet and snow covered runway instead of executing a missed approach.",28,A1,Philadelphia Int...,Philadelphia Int...,Philadelphia Int...
1951-01-16,n93054,10,"While cruising at 6,000 ft.,  the aircraft when out of control and into a dive, hitting the ground at 340 mph.  Officially the cause was never determined.  Possible in-flight fire, explosion, structural failure or conrol system failure.",10,A1,"near Reardan, WA",WA,WA
1951-01-28,pp107,14,Crashed into mountainous terrain while en route. Most likely weather related.,14,A1,Mt. Yuli,Mt. Yuli,Mt. Yuli
1951-01-31,tfisg,20,Crashed into the sea 2.5 miles north of the airport after a second landing attempt in snow. The first attempt was aborted because the runway lights were not visible. The crew attempted a second landing but contact was lost with the aircraft. Wreckage was found in the ocean 10 miles from the airport.,20,A1,near HafnarfjÃ¶rdur,near HafnarfjÃ¶rdur,near HafnarfjÃ¶rdur
1951-02-03,fbbdo,29,"Crashed into a mountain at 8,500 feet. Navigation error. Incorrect procedures followed by crew. The crew followed a different and inaccurate course.",29,A1,near BuÃ©a,near BuÃ©a,near BuÃ©a
1951-02-14,hk333,2,"En route, the cargo plane hit the slope of a mountain located 12 km from Yalí.",2,A1,"near YalÃ­, Antioquia",Antioquia,Antioquia
1951-03-02,n19928,16,"After a missed ILS approach , the pilot stalled the plane and crashed in poor weather conditions. A stall during a left turn too close to the ground to effect a recovery. Pilot error.",25,A1,"Sioux City, IA",IA,IA
1951-03-11,hspos,24,"Crashed into hills shortly after takeoff. Crew error. The pilot taking off under VFR, lost visual contact with the ground and attempted to return to IFR procedure too late to avoid the hills. The aircraft was named ""City of Ayudhya.""",24,A1,Hong Kong Island,Hong Kong Island,Hong Kong Island
1951-03-21,hk315,29,aircraft later crashed in an uninhabited area located near Hato Nuevo after encountering thunderstorms.,29,A1,near Hato Nuevo,near Hato Nuevo,near Hato Nuevo
1951-03-22,ppccx,3,The No. 2 engine failed on a go-around in reduced visibility and rain and the aircraft crashed into the ocean.,14,A1,near Florianopolis Ai...,near Florianopolis Ai...,near Florianopolis Ai...
1951-03-25,cccpl4790,12,"The third cylinder of the right engine failed in flight, causing the engine to catch fire. With one engine inoperative and flying in icing conditions and turbulence, the aircraft was unable to maintain height, hit trees and crashed.",13,A1,near Iskra,near Iskra,near Iskra
1951-03-26,lvacy,11,"On final approach to Río Grande Airport, the aircraft stalled and crashed in a fieldlshort of runway.",24,A1,"near RÃ­o Grande, TF",TF,TF
1951-03-27,gajvz,2,"The inability of the aircraft to gain height shortly after becoming airborne, due to loss of engine power caused by ice formation in the carburetor intakes attributable to the captain's failure to make use of the heat controls.",3,A1,Manchester-Ringw...,Manchester-Ringw...,Manchester-Ringw...
1951-04-06,n63439,22,"The plane crashed into the north slope of Santa Ynez peak, 23 miles northwest of Santa Barbara, in poor weather. Failure of the crew to maintain minimum altitude for the route being flown for reasons unknown.",22,A1,"Refugio Pass, CA",CA,United States of America
1951-04-08,4348298,21,"The aircraft crashed into a wooded area, 8 miles NE of Charlston, after making a final turn to land at Kanawha County Airport. Both wings were sheared off and the aircraft burst into flames.",21,A1,"near Charleston, WV",WV,WV
1951-04-09,hssae,16,The pilot lost control of the aircraft while attempting too steep a turn and too  low a speed while making an approach at night in dense fog and rain and struck the ground.,16,A1,near Cape d'Arguilar,near Cape d'Arguilar,near Cape d'Arguilar
1951-04-28,n16088,11,The aircraft crashed after being caught in a squall line with 65-85 mph winds and heavy rain. Windshear. The severe downdraft encountered which caused the aircraft to strike the ground in a near level attitude.,11,A1,"near Fort Wayne, IN",IN,United States of America
1951-05-18,ppspl,7,Hit a mountain in fog about 8 km from Rancheria.. Pilot's decision to fly VFR in unfavorable weather conditions.,7,A1,"near Rancharia, SP",SP,SP
1951-06-06,ppnal,2,"Crashed into high ground while on a VFR apporach in IFR conditions. The pilot attempted a descent over an area where the minimum safe altitude was 1,200 ft.",19,A1,"Gramacho, Rio de...",Rio de...,Rio de...
1951-06-22,n88846,40,"The plane crashed into a hill at 1000 ft. in a level descending attitude, 54 miles from the airport. The pilot descended below en route minimum altitude without knowing the aircraft's position. The aircraft was named Clipper Great Republic.",40,A1,near Sanoyea,near Sanoyea,near Sanoyea
1951-06-29,yuace,14,The plane encountered poor weather conditions with thunderstorm activity and turbulence leading to loss of control and crash.,14,A1,near Rijeka,near Rijeka,near Rijeka
1951-06-30,n37543,50,"En route from San Francisco to Denver after passing the Cheyenne radio range the aircraft turned south in the wrong heading. Flying in darkness, the aircraft continued on this course until it hit Crystal Mountain. The captain may have depressed the wrong control switch or may have turned his ADF in such a way that it was affected by the radio range station at Fort Bridger, WY. Officially, the flight for reasons undetermined, failed to follow the prescribed route to Denver and continued beyond the boundary of the airway on a course which resulted in the aircraft striking mountainous terrain.",50,A1,"near Fort Collins, CO",CO,CO
1951-07-12,vw194,10,One engine caught fire. The propellers of the working engine were feathered in error. The plane crashed.,10,A1,near Lyneham-RAF Stat...,near Lyneham-RAF Stat...,near Lyneham-RAF Stat...
1951-07-12,vtcht,3,The cargo plane hit the slope of a mountain.,3,A1,near Tezpur,near Tezpur,near Tezpur
1951-07-12,pplpg,33,Crashed during a landing attempt in adverse weather conditions under VFR and hit high ground. The pilot attempted a visual approach and made a turn at low altitude in adverse weather conditions.,33,A1,"near Aracaju Airport,...",...,...
1951-07-21,cfcpc,37,"Disappeared with no trace over the Pacific Ocean while flying from Vancouver to Tokyo. The last message was received while the aircraft was near Yakutat, Alaska with no reports of probems. Cause undetermined.",37,A1,"near Sitka, AK",AK,United States of America
1951-07-24,oocba,3,The failure of the right engine during takeoff. A rupture of the hydraulic circuit with oil projection in the cockpit would have increased maneuver difficulties by restricting visibility in the cockpit,3,A1,near Gao Airport (GAQ),near Gao Airport (GAQ),near Gao Airport (GAQ)
1951-07-29,cb39,7,Hit a tree while taking off and crashed.,7,A1,near Cochabamba-J Wil...,near Cochabamba-J Wil...,near Cochabamba-J Wil...
1951-08-08,vhtat,2,Cargo plane. Loss of lateral control during a turn at low altitude soon after takeoff. The probable cause of the loss of lateral control was the presence of ice on the aircraft surface.,2,A1,"Barilla Bay, TAS",TAS,TAS
1951-08-11,fbaxb,5,"Abnormal flight maneuver made when the crew experienced difficulty in resuming normal flight on the two engines. Overspeed, reduction of pitch or difficulty in restarting the engine may have created a dangerous situation and caused the aircraft to stall in dissymmetrical flight, thus subjecting the airframe to stresses accompanied by buffeting which was either alternating or exceeded the design limits of the structure and caused the tail-plane to break off.",5,A1,Moisville,Moisville,Moisville
1951-08-24,n37550,50,"Cleared for an approach to Oakland Municipal Airport, the aircraft crashed 15 miles SSE of the airport into Tolman peak. Patches of fog obscured the terrain. The aircraft struck a hill at an elevation of about 1,000 ft. at 225 to 240 mph. Neither of its 2 low-frequency receivers were tuned to the Oakland station and the captain may have attempted to fly by visual reference using the ADF.  As a result, the flight was 3 miles off course and well below the minimum prescribed altitude. The failure of the captain to adhere to instrument procedures in the Newark area during an approach to the Oakland Municipal  Airport.",50,A1,near Oakland Internat...,near Oakland Internat...,near Oakland Internat...
1951-09-12,fbeiz,39,Crashed into the Mediterranean due to structural failure following loss of control in severe weather.,39,A1,"near Palma, Islas Bal...",Islas Bal...,Islas Bal...
1951-09-12,n31230,3,"The aircraft, with the No. 4 propeller feathered, stalled and dived into San Francisco Bay. An inadvertent stall at a low altitude from which recovery was not effected.",3,A1,"near Redwood City, CA",CA,United States of America
1951-09-27,49169,14,"Crashed into the slope of Mt Tanazawa, 28 km northwest of the airbase while operating with the 314th Troop Carrier Wing.",14,A1,near Tachikawa Air Base,near Tachikawa Air Base,near Tachikawa Air Base
1951-10-15,zsavj,17,"While en route in clouds, the airplane crashed on Mt Ingeli  about 17 km southeast of Kokstad.",17,A1,Mount Ingeli,Mount Ingeli,Mount Ingeli
1951-10-15,492602,12,Went missing en route. No trace of the aircraft was ever found.,12,A1,North Atlantic,North Atlantic,North Atlantic
1951-10-17,cffoq,23,"While flying VFR in adverse weather conditions, the pilot mistook Nanaimo for Vancouver.  The plane crashed into Mt. Benson, 20 miles west of Vancouver.",23,A1,"Mt. Benson, BC",BC,BC
1951-10-22,yuacc,12,Crashed while en route.,12,A1,near Skopje,near Skopje,near Skopje
1951-11-05,n93039,1,"Crashed while attempting to land at Albuquerque in marginal weather conditions. The captain's attempt to land during less than minimum visibility, rather than proceed to his alternate.  A military contract flight.",29,A1,Tucumcari Airpor...,Tucumcari Airpor...,Tucumcari Airpor...
1951-11-17,cccpl1775,23,The plane crashed shortly after taking off due to icing.,23,A1,near Novosibirsk-Seve...,near Novosibirsk-Seve...,near Novosibirsk-Seve...
1951-11-19,tcaca,5,Crashed into a sand dune while attempting to land in poor weather condtions.,5,A1,near Cairo,near Cairo,near Cairo
1951-11-21,vtauo,16,The aircraft struck trees in fog during a missed approach 3 miles north of Dum Dum airport as the crew descended too low in poor visibility.,17,A1,Calcutta-Dum Dum...,Calcutta-Dum Dum...,Calcutta-Dum Dum...
1951-11-27,xadoq,13,"Shortly after taking and while in an initial climb, the plane hit an obstacle and crashed.",21,A1,San Luis AcatlÃ¡n,San Luis AcatlÃ¡n,San Luis AcatlÃ¡n
1951-12-04,n17109,3,"Stalled, entered a spin and crashed. An inadvertent spin at an altitude too low for recovery.",3,A1,Denver-Stapleton...,Denver-Stapleton...,Denver-Stapleton...
1951-12-16,n1678m,56,"Shortly after taking off from Newark Airport the control tower noticed smoke emanating from the right engine.  Minutes later the aircraft gradually descended, its left wing dropped and the aircraft struck the roof of a vacant building. Hold-down studs in the number 10 cylinder of the right engine failed due to improper installtion of their nuts. Fire erupted at the base of the failed cylinder. Extension of the landing gear and loss of the right engine led to the aircraft stalling at the height of about 200 ft. The aircraft was also overloaded by 117 pounds. A stall with the landing gear extended following a serious loss of power from the right engine. This loss of power was caused by the failure of the hold-down studs of the No. 10 cylinder, precipitating a fire in flight which became uncontrollable.",56,A1,near Newark Internati...,near Newark Internati...,near Newark Internati...
1951-12-29,n3944c,26,"Proceeding at a low altitude to maintain reference with the ground in nearly zero ceiling and visibility , the plane drifted off course and crashed into a hill 15 miles east of the direct route. Flying VFR under IFR conditions. The captain's poor judgement in attempting a flight by visual reference during instrument weather conditions.",40,A1,"near Salamanca, NY",NY,United States of America
1951-12-30,n68963,4,"The flight made an authorized left turn while outbound on the east leg of the Fairbanks radio range and subsequently struck Chena Dome, northeast of the station while on a westerly heading. The failure of the pilot to follow procedures and utilize properly the radio facilities for approach and letdown at Fairbanks with the result that the flight became lost.",4,A1,"near Fairbanks, AK",AK,United States of America
1951-12-31,vtcoa,3,The cargo plane crashed on takeoff after hitting trees.,3,A1,Calcutta-Dum Dum...,Calcutta-Dum Dum...,Calcutta-Dum Dum...
1952-01-02,fbamq,6,,11,A1,Andapa,Andapa,Andapa
1952-01-10,eiafl,23,The aircraft lost control in severe turbulence and downdrafts and crashed in a soft peat bog 1 mile east of Llyn Gwynant.  The encountering of strong down-currents of air on the lee side of Snowdon which forced the aircraft down into an area of strong turbulence where control was lost.,23,A1,"Cwm Edno, Wales",Wales,United Kingdom
1952-01-19,n45342,36,"The crew chose to divert to Sandpit after the No. 1 engine was shut down. The aircraft crashed into the Pacific Ocean one mile offshore after overshooting the runway during the emergency landing. A nose gear retraction difficulty in connection with an icing condition or a power loss, which made the aircraft incapable of maintaining flight. Most of the fatalities were from exposure to the frigid water.",43,A1,near Sandspit Airport...,near Sandspit Airport...,near Sandspit Airport...
1952-02-19,vtaxe,3,"Banked left and struck trees 2,000 ft. short of the runway. Pilot error. The pilot misjudged the approach, undershot and hit the tops trees. A contributing factor was the setting of the pilot's altimeter to QNH, rather than the customary QFE during the final approach.",16,A1,Nagpur-Sonegaon ...,Nagpur-Sonegaon ...,Nagpur-Sonegaon ...
1952-03-03,fbcum,38,"After taking off, the plane was observed turning to the left until it turned on its back and crashed. Malfunction of ailerons. The gear chain of the co-pilot's control column slipped off the sprocket and jammed the aileron controls.",38,A1,near Nice-le Var Airp...,near Nice-le Var Airp...,near Nice-le Var Airp...
1952-03-10,pic5,3,"While taking off, the cargo plane, carrying a light load of freight, lost altitude and crashed into a house.",3,A1,near Cebu-Lahug Airport,near Cebu-Lahug Airport,near Cebu-Lahug Airport
1952-03-22,cfbxz,4,"The cargo plane disappeared en route. Found on August 27, 1953.",4,A1,"near Gaspe, QC",QC,QC
1952-03-22,phtpj,45,"Crashed and burst into flames two miles short of the runway in rain and fog during the approach. Cause unknown. The aircraft was named ""Koningin Juliana.""",47,A1,near Frankfurt Intern...,near Frankfurt Intern...,near Frankfurt Intern...
1952-03-24,farte,17,Crashed after taking off. Pilot failed to maintain altitude after taking off for reasons unknown. May have been pilot fatigue.,21,A1,near Gao Airport (GAQ),near Gao Airport (GAQ),near Gao Airport (GAQ)
1952-03-29,yvcazu,12,Crashed into the summit on Cerro Grande Mountain.,12,A1,near San Felipe Airpo...,near San Felipe Airpo...,near San Felipe Airpo...
1952-03-30,pic270,10,Crashed during takeoff. The plane hit an unidentified obstruction on the runway and the wheels collapsed.,29,A1,Baguio-Loakan Ai...,Baguio-Loakan Ai...,Baguio-Loakan Ai...
1952-04-09,n93043,37,"On an early morning flight, under instrument conditions, the crew flew the route segment from Tokyo to Oshima Island 1,000 ft. below the minimum instrument altitude.  At Oshima Island the aircraft crashed into the side of Mihara volcano.",37,A1,Mihara Volcano,Mihara Volcano,Mihara Volcano
1952-04-10,vtdfn,4,"The cargo plane, carrying a load of tea,  crashed while taking off after losing an engine and attempting an emergency landing.",4,A1,Agartala,Agartala,Agartala
1952-04-11,n88899,52,"After taking off from Isle Grande Airport the crew had engine problems.The aircraft then crashed into the Atlantic Ocean. The ditching took place in turbulent seas. The tail broke off on impact and the aircraft stayed afloat for only 3 minutes and sank.  The company's inadequate maintenance in not changing the No. 3 engine which resulted in its failure immediately subsequent to takeoff and the persistent action of the captain in attempting to re-establish a climb, without using all available power, following the critical loss of power to another engine. This resulted in a nose-high attitude, progressive loss of air speed and the settling of the aircraft at too low an altitude to effect recovery. The aircraft was named Clipper Endeavor.",69,A1,near San Juan-Isla Gr...,near San Juan-Isla Gr...,near San Juan-Isla Gr...
1952-04-18,n8404c,29,"The plane was on a flight from New York City to Burbank, California. Due to poor visibility and fog, the flight was diverted to Los Angeles Airport for an ILS approach. While on approach, the plane crashed into the Puente Hills and burned. The pilot voluntarily descended below the minimum altitude for which he was cleared and attempted an approach at too low an altitude to clear the terrain. The pilot in command was flying with a restricted medical certificate. An emergency suspension was placed on the airline and it was discovered the airline had allegations of more than 40 violations listed against it including charges of overweight planes, excessive flying time for crews and failure to use approved seats and safety belts.",29,A1,"near Whittier, CA",CA,United States of America
1952-04-29,n1039v,50,"The flight crashed into the jungle about 887 nm NNW of Rio de Janerio. Separation of the propeller blade leading to separation of the No. 2 engine due to highly unbalance forces, leading to the distintegration of the aircraft. The aircraft was named ""Clipper Good Hope.""",50,A1,"near Carolina, MA",MA,MA
1952-04-30,vtaun,9,Lost an engine while on approach and crashed. Fuel starvation caused when the plane banked to make a turn and the tank being used had very little fuel in it.,9,A1,Delhi-Safdarjung...,Delhi-Safdarjung...,Delhi-Safdarjung...
1952-05-05,lnnad,11,"Crashed on a mountain slope while en route. There were mainly whaling crews aboard, returning from the antarctic. Crew navigational error.",29,A1,near Skien,near Skien,near Skien
1952-05-13,ppspm,5,Crashed while attempting to make an emergency landing after experiencing an engine failure. Failure of the port engine due to accessory drive failure. Failure of the starboard engine due to seizure as a result of deficient maintenance. Error on the part of the crew in lowering the landing gear in emergency conditions.,22,A1,"SÃ£o Paulo, SP",SP,SP
1952-05-24,pplde,6,"The cargo plane lost an engine while taking off, stalled and crashed. Failure of maintenance staff to remove the flying control locks.  Failure of one engine for reason undetermined.",6,A1,"near Manaus, AM",AM,AM
1952-05-26,galdn,1,"The crew became lost in the desert, ran out of fuel and made a forced landing.  Survivors had to be led by a rescue team 15 miles to an oasis before they could be evacuated.  The co-pilot died 5 days later from head injuries suffered in the accident. Navagational errors by the crew. Improper adjustment of the parameters of the  gyroscopic compass CL2 Gyrosyn by the navigator.  Absence of radio assistance and incorrect use of the compasses. Captain's decision  to use the gyroscopic compass in the place of the magnetic compass which was inoperative. The aircraft was named ""Horus.""",18,A1,near Atar,near Atar,near Atar
1952-06-13,79001,8,"Shot down by  a Mig-15 Russian Air Force fighter over the Baltic Sea in international waters while on a radio surveillance mission. Wreckage found 06/17/2003, recovered 03/19/2004.",8,C1,near Gotska SandÃ¶n i...,near Gotska SandÃ¶n i...,near Gotska SandÃ¶n i...
1952-06-25,vp261,11,Crashed into the North Sea near Holy Island while participating in North Atlantic Treaty maneuvers.,13,A1,near Berwick-upon-Tweed,near Berwick-upon-Tweed,near Berwick-upon-Tweed
1952-07-27,n1030v,1,A woman was sucked out of the plane . The flight engineer's failure to recognize an unsafe condition of the cabin door despite three completely separate warnings of that condition and the captain's action in continuing flight while pressurized despite the several warnings that the main cabin door was not properly locked.,27,A2,"near Rio de Janeiro, RJ",RJ,RJ
1952-08-12,ppanh,24,Exploded in midair. A bomb exploded aboard.,24,A1,Palmeira de GoiÃ...,Palmeira de GoiÃ...,Palmeira de GoiÃ...
1952-08-26,g783,18,Crashed shortly after taking off from Khewra. Possible engine failure.,18,A1,near Khewra,near Khewra,near Khewra
1952-08-29,zsdfw,2,Extremely bad weather forced the captain of the cargo plane to divert from his original destination. No proper preparation had been made for a possible landing at an alternate airfield prior to commencement of flight. The secondary cause was due to the Captain's attempt to execute a landing at Kosti aerodrome which was not equipped with night landing facilities. The Captain landed on the runway but was unable to align himself with the center line and in consequence ran off the runway and struck a steel windsock support and thereafter struck various obstructions such as trees which lay in the path.,4,A1,Kosti Airport (KST),Kosti Airport (KST),Kosti Airport (KST)
1952-09-15,vtcgb,3,"A navigational error on the part of the captain. This error was severely aggravated by the lack of proper radio aids from the destination airport, the unserviceability of the aircraft R/T equipment, and to a lesser degree the physical condition of the crew. The secondary cause was the cargo plane coming into close proximity of high ground due to the captains uncertainty of his position.",3,A1,near Wadi Halfa,near Wadi Halfa,near Wadi Halfa
1952-10-08,vp286,14,Was on air-sea practice when it crashed near Tarbat Ness.,14,A1,near Tarbat Ness,near Tarbat Ness,near Tarbat Ness
1952-10-14,ppaxj,14,After being cleared to land the aircraft struck high ground and burst int flames. Navigational error in not knowing where the aircraft was located. Poor weather.,28,A1,San Francisco de...,San Francisco de...,San Francisco de...
1952-10-16,4477538,25,The aircraft crashed into the Sea of Japan while en route. No signs of the wreckage were ever found and only two bodies were recovered when they washed ashore.,25,A1,near Kangnung Air Base,near Kangnung Air Base,near Kangnung Air Base
1952-11-15,512570,20,Disappeared while en route. No trace of the aircraft was ever found.,20,A1,between Anchorag...,between Anchorag...,between Anchorag...
1952-12-06,cut397,37,"Crashed dived into the sea approximately 5 miles from the airport shortly after taking off. Cause unknown. The plane was called ""The Star of the East.""",41,A1,near Bermuda-Kindley ...,near Bermuda-Kindley ...,near Bermuda-Kindley ...
1952-12-20,50100,87,Within two minutes after takeoff the aircraft began to lose altitude. It crashed and burned into a snow laden field at the end of the airstrip. Failure of the pilot to remove the rudder and elevator locking pin prior to taking off.,115,A1,near Moses Lake-Larso...,near Moses Lake-Larso...,near Moses Lake-Larso...
1952-12-21,yvcarc,3,Disappeared over the Atlantic. Never found.,3,A1,"near Miami, FL, USA",USA,USA
1952-12-25,yvcavx,3,Lost altitude and ditched near shore after taking off.,5,A1,near La Guaria,near La Guaria,near La Guaria
1952-12-30,pic38,2,"After takeoff from Laoag an armed man forced his way into the cockpit. He pulled .45-caliber pistol and demanded that the plane be brought to Amoy, in mainland China. The captain took over control from the co-pilot and put the plane into a steep dive. The hijacker did not lose his balance and instead shot and killed the captain. The co-pilot took over control and meanwhile the steward had come up to the cockpit to find out what was going on. As he knocked, the hijacker shot him twice through the cockpit door, killing him. The co-pilot changed course to China and continued at 6000 feet over the China Sea until two Chinese Nationalists T-6 Harvard planes showed up. Both planes chased the DC-3 and sprayed machine gun fire. The pilot managed to escape until he met with other Nationalist planes, who forced the flight to land at Quemoy. At Quemoy the hijacker was arrested.",10,H2,Chinmen Island,Chinmen Island,Chinmen Island
1953-01-05,gajdl,27,Crashed into approach lights while attempting to land.  Error of judgement on the part of the pilot.,35,A1,Belfast-Nutts Co...,Belfast-Nutts Co...,Belfast-Nutts Co...
1953-01-07,n86574,7,"The plane struck a tree on a mountain ridge at an elevation of 1,620 feet. Following impact with the tree the aircraft continued flying and finally struck the ground in a canyon 1,500 feet below and caught fire. The flight's deviation from the established approach procedure.",7,A1,"near Issaquah, WA",WA,WA
1953-01-07,n1648m,40,"The plane crashed into mountains while en route. Upon entering an area of turbulence, the plane was unable to climb and crashed into trees. Found 5 months later. The inadvertent descent into an area of turbulence and icing which resulted in the pilot's inability to regain a safe altitude.",40,A1,"near Fish Haven, ID",ID,ID
1953-01-26,ilail,19,Crashed 10 miles east of Cagliari in the Sinnai mountains after a wing failed due to overstressing.,19,A1,near Cagliari-Elmas A...,near Cagliari-Elmas A...,near Cagliari-Elmas A...
